"measurementID","eventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementRemarks"
"PM5-T1_1_m5","PM5-T1","Iron (CHEBI:18248) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","6.250752255","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m6","PM5-T1","Potassium (CHEBI:26216) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","167.3640038","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m7","PM5-T1","Magnesium (CHEBI:25107) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","97.31121315","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m8","PM5-T1","Manganese (CHEBI:18291) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.960032317","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m9","PM5-T1","Sulfur (CHEBI:26833) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","68.18620795","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m10","PM5-T1","Silicon (CHEBI:27573) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","10.16156425","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m11","PM5-T1","Zinc (CHEBI:27363) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","1.000974522","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m12","PM5-T1","Percentage (SIO:001413) of nitrogen (CHEBI:25555) in plant tissue (NCIT:C18945)","2.691979527","percent (UO:0000187)",NA,NA
"PM5-T1_1_m13","PM5-T1","Percentage (SIO:001413) of carbon (CHEBI:27594) in plant tissue (NCIT:C18945)","45.02029419","percent (UO:0000187)",NA,NA
"PM5-T1_1_m14","PM5-T1","Percentage (SIO:001413) of phosphorus (CHEBI:28659) in plant tissue (NCIT:C18945)","0.210314659","percent (UO:0000187)",NA,NA
"PM5-T1_1_m15","PM5-T1","Nitrogen (CHEBI:25555) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","1921.470041","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM5-T1_1_m16","PM5-T1","Carbon (CHEBI:27594) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","37485.67376","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM5-T1_1_m17","PM5-T1","Phosphorus (CHEBI:28659) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","67.90915695","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM5-T1_1_m18","PM5-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","16.72386202",NA,NA,"Calculated as percentage of carbon divided by percentage of nitrogen"
"PM5-T1_1_m19","PM5-T1","Ratio (SIO:001018) of percentage (SIO:001413) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","214.0616084",NA,NA,"Calculated as percentage of carbon divided by percentage of phosphorus"
"PM5-T1_1_m20","PM5-T1","Ratio (SIO:001018) of percentage (SIO:001413) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","12.79977125",NA,NA,"Calculated as percentage of nitrogen divided by percentage of phosphorus"
"PM5-T1_1_m21","PM5-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and nitrogen (CHEBI:25555)","19.50885154",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of nitrogen"
"PM5-T1_1_m22","PM5-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of carbon (CHEBI:27594) and phosphorus (CHEBI:28659)","551.9973365",NA,NA,"Calculated as molar concentration of carbon divided by molar concentration of phosphorus"
"PM5-T1_1_m23","PM5-T1","Ratio (SIO:001018) of concentration (NCIT:C41185) of nitrogen (CHEBI:25555) and phosphorus (CHEBI:28659)","28.29471204",NA,NA,"Calculated as molar concentration of nitrogen divided by molar concentration of phosphorus"
"PM1-T2_1_m1","PM1-T2","Phosphorus treatment (AGRO:00000322)","yes",NA,NA,NA
"PM1-T2_1_m2","PM1-T2","Liming process (AGRO:00000112) treatment (AGRO:00000322)","no",NA,NA,NA
"PM1-T2_1_m3","PM1-T2","Aluminium (CHEBI:28984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","4.752808125","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T2_1_m4","PM1-T2","Calcium (CHEBI:22984) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","103.0537954","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T2_1_m5","PM1-T2","Iron (CHEBI:18248) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","5.366783488","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T2_1_m6","PM1-T2","Potassium (CHEBI:26216) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","200.4935673","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T2_1_m7","PM1-T2","Magnesium (CHEBI:25107) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","65.97325527","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM1-T2_1_m8","PM1-T2","Manganese (CHEBI:18291) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","1.518177945","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
